code,description,last_updated
A00,Cholera,2025-09-07
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",2025-09-07
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",2025-09-07
A009,"Cholera, unspecified",2025-09-07
A01,Typhoid and paratyphoid fevers,2025-09-07
A010,Typhoid fever,2025-09-07
A011,Paratyphoid fever A,2025-09-07
A012,Paratyphoid fever B,2025-09-07
A013,Paratyphoid fever C,2025-09-07
A014,"Paratyphoid fever, unspecified",2025-09-07
A02,Other salmonella infections,2025-09-07
A020,Salmonella enteritis,2025-09-07
A021,Salmonella sepsis,2025-09-07
A022,Localized salmonella infections,2025-09-07
A028,Other specified salmonella infections,2025-09-07
A029,"Salmonella infection, unspecified",2025-09-07
A03,Shigellosis,2025-09-07
A030,Shigellosis due to Shigella dysenteriae,2025-09-07
A031,Shigellosis due to Shigella flexneri,2025-09-07
A032,Shigellosis due to Shigella boydii,2025-09-07
A033,Shigellosis due to Shigella sonnei,2025-09-07
A038,Other shigellosis,2025-09-07
A039,"Shigellosis, unspecified",2025-09-07
A04,Other bacterial intestinal infections,2025-09-07
A040,Enteropathogenic Escherichia coli infection,2025-09-07
A041,Enterotoxigenic Escherichia coli infection,2025-09-07
A042,Enteroinvasive Escherichia coli infection,2025-09-07
A043,Enterohaemorrhagic Escherichia coli infection,2025-09-07
A044,Other intestinal Escherichia coli infections,2025-09-07
A045,Campylobacter enteritis,2025-09-07
A046,Enteritis due to Yersinia enterocolitica,2025-09-07
A047,Enterocolitis due to Clostridium difficile,2025-09-07
A048,Other specified bacterial intestinal infections,2025-09-07
A049,"Bacterial intestinal infection, unspecified",2025-09-07
A05,"Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
A050,Foodborne staphylococcal intoxication,2025-09-07
A051,Botulism,2025-09-07
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,2025-09-07
A053,Foodborne Vibrio parahaemolyticus intoxication,2025-09-07
A054,Foodborne Bacillus cereus intoxication,2025-09-07
A058,Other specified bacterial foodborne intoxications,2025-09-07
A059,"Bacterial foodborne intoxication, unspecified",2025-09-07
A06,Amoebiasis,2025-09-07
A060,Acute amoebic dysentery,2025-09-07
A061,Chronic intestinal amoebiasis,2025-09-07
A062,Amoebic nondysenteric colitis,2025-09-07
A063,Amoeboma of intestine,2025-09-07
A064,Amoebic liver abscess,2025-09-07
A065,Amoebic lung abscess,2025-09-07
A066,Amoebic brain abscess,2025-09-07
A067,Cutaneous amoebiasis,2025-09-07
A068,Amoebic infection of other sites,2025-09-07
A069,"Amoebiasis, unspecified",2025-09-07
A07,Other protozoal intestinal diseases,2025-09-07
A070,Balantidiasis,2025-09-07
A071,Giardiasis [lambliasis],2025-09-07
A072,Cryptosporidiosis,2025-09-07
A073,Isosporiasis,2025-09-07
A078,Other specified protozoal intestinal diseases,2025-09-07
A079,"Protozoal intestinal disease, unspecified",2025-09-07
A08,Viral and other specified intestinal infections,2025-09-07
A080,Rotaviral enteritis,2025-09-07
A081,Acute gastroenteropathy due to Norovirus,2025-09-07
A082,Adenoviral enteritis,2025-09-07
A083,Other viral enteritis,2025-09-07
A084,"Viral intestinal infection, unspecified",2025-09-07
A085,Other specified intestinal infections,2025-09-07
A09,Other gastroenteritis and colitis of infectious and unspecified origin,2025-09-07
A090,Other and unspecified gastroenteritis and colitis of infectious origin,2025-09-07
A099,Gastroenteritis and colitis of unspecified origin,2025-09-07
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",2025-09-07
A151,"Tuberculosis of lung, confirmed by culture only",2025-09-07
A152,"Tuberculosis of lung, confirmed histologically",2025-09-07
A153,"Tuberculosis of lung, confirmed by unspecified means",2025-09-07
A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",2025-09-07
A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",2025-09-07
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically",2025-09-07
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",2025-09-07
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",2025-09-07
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",2025-09-07
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
A160,"Tuberculosis of lung, bacteriologically and histologically negative",2025-09-07
A161,"Tuberculosis of lung, bacteriological and histological examination not done",2025-09-07
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",2025-09-07
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",2025-09-07
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",2025-09-07
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",2025-09-07
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,2025-09-07
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",2025-09-07
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",2025-09-07
A17,Tuberculosis of nervous system,2025-09-07
A170,Tuberculous meningitis,2025-09-07
A171,Meningeal tuberculoma,2025-09-07
A178,Other tuberculosis of nervous system,2025-09-07
A179,"Tuberculosis of nervous system, unspecified",2025-09-07
A18,Tuberculosis of other organs,2025-09-07
A180,Tuberculosis of bones and joints,2025-09-07
A181,Tuberculosis of genitourinary system,2025-09-07
A182,Tuberculous peripheral lymphadenopathy,2025-09-07
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands",2025-09-07
A184,Tuberculosis of skin and subcutaneous tissue,2025-09-07
A185,Tuberculosis of eye,2025-09-07
A186,Tuberculosis of ear,2025-09-07
A187,Tuberculosis of adrenal glands,2025-09-07
A188,Tuberculosis of other specified organs,2025-09-07
A19,Miliary tuberculosis,2025-09-07
A190,Acute miliary tuberculosis of a single specified site,2025-09-07
A191,Acute miliary tuberculosis of multiple sites,2025-09-07
A192,"Acute miliary tuberculosis, unspecified",2025-09-07
A198,Other miliary tuberculosis,2025-09-07
A199,"Miliary tuberculosis, unspecified",2025-09-07
A20,Plague,2025-09-07
A200,Bubonic plague,2025-09-07
A201,Cellulocutaneous plague,2025-09-07
A202,Pneumonic plague,2025-09-07
A203,Plague meningitis,2025-09-07
A207,Septicaemic plague,2025-09-07
A208,Other forms of plague,2025-09-07
A209,"Plague, unspecified",2025-09-07
A21,Tularaemia,2025-09-07
A210,Ulceroglandular tularaemia,2025-09-07
A211,Oculoglandular tularaemia,2025-09-07
A212,Pulmonary tularaemia,2025-09-07
A213,Gastrointestinal tularaemia,2025-09-07
A217,Generalized tularaemia,2025-09-07
A218,Other forms of tularaemia,2025-09-07
A219,"Tularaemia, unspecified",2025-09-07
A22,Anthrax,2025-09-07
A220,Cutaneous anthrax,2025-09-07
A221,Pulmonary anthrax,2025-09-07
A222,Gastrointestinal anthrax,2025-09-07
A227,Anthrax sepsis,2025-09-07
A228,Other forms of anthrax,2025-09-07
A229,"Anthrax, unspecified",2025-09-07
A23,Brucellosis,2025-09-07
A230,Brucellosis due to Brucella melitensis,2025-09-07
A231,Brucellosis due to Brucella abortus,2025-09-07
A232,Brucellosis due to Brucella suis,2025-09-07
A233,Brucellosis due to Brucella canis,2025-09-07
A238,Other brucellosis,2025-09-07
A239,"Brucellosis, unspecified",2025-09-07
A24,Glanders and melioidosis,2025-09-07
A240,Glanders,2025-09-07
A241,Acute and fulminating melioidosis,2025-09-07
A242,Subacute and chronic melioidosis,2025-09-07
A243,Other melioidosis,2025-09-07
A244,"Melioidosis, unspecified",2025-09-07
A25,Rat-bite fevers,2025-09-07
A250,Spirillosis,2025-09-07
A251,Streptobacillosis,2025-09-07
A259,"Rat-bite fever, unspecified",2025-09-07
A26,Erysipeloid,2025-09-07
A260,Cutaneous erysipeloid,2025-09-07
A267,Erysipelothrix sepsis,2025-09-07
A268,Other forms of erysipeloid,2025-09-07
A269,"Erysipeloid, unspecified",2025-09-07
A27,Leptospirosis,2025-09-07
A270,Leptospirosis icterohaemorrhagica,2025-09-07
A278,Other forms of leptospirosis,2025-09-07
A279,"Leptospirosis, unspecified",2025-09-07
A28,"Other zoonotic bacterial diseases, not elsewhere classified",2025-09-07
A280,Pasteurellosis,2025-09-07
A281,Cat-scratch disease,2025-09-07
A282,Extraintestinal yersiniosis,2025-09-07
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",2025-09-07
A289,"Zoonotic bacterial disease, unspecified",2025-09-07
A30,Leprosy [Hansen disease],2025-09-07
A300,Indeterminate leprosy,2025-09-07
A301,Tuberculoid leprosy,2025-09-07
A302,Borderline tuberculoid leprosy,2025-09-07
A303,Borderline leprosy,2025-09-07
A304,Borderline lepromatous leprosy,2025-09-07
A305,Lepromatous leprosy,2025-09-07
A308,Other forms of leprosy,2025-09-07
A309,"Leprosy, unspecified",2025-09-07
A31,Infection due to other mycobacteria,2025-09-07
A310,Pulmonary mycobacterial infection,2025-09-07
A311,Cutaneous mycobacterial infection,2025-09-07
A318,Other mycobacterial infections,2025-09-07
A319,"Mycobacterial infection, unspecified",2025-09-07
A32,Listeriosis,2025-09-07
A320,Cutaneous listeriosis,2025-09-07
A321,Listerial meningitis and meningoencephalitis,2025-09-07
A327,Listerial sepsis,2025-09-07
A328,Other forms of listeriosis,2025-09-07
A329,"Listeriosis, unspecified",2025-09-07
A33,Tetanus neonatorum,2025-09-07
A34,Obstetrical tetanus,2025-09-07
A35,Other tetanus,2025-09-07
A36,Diphtheria,2025-09-07
A360,Pharyngeal diphtheria,2025-09-07
A361,Nasopharyngeal diphtheria,2025-09-07
A362,Laryngeal diphtheria,2025-09-07
A363,Cutaneous diphtheria,2025-09-07
A368,Other diphtheria,2025-09-07
A369,"Diphtheria, unspecified",2025-09-07
A37,Whooping cough,2025-09-07
A370,Whooping cough due to Bordetella pertussis,2025-09-07
A371,Whooping cough due to Bordetella parapertussis,2025-09-07
A378,Whooping cough due to other Bordetella species,2025-09-07
A379,"Whooping cough, unspecified",2025-09-07
A38,Scarlet fever,2025-09-07
A39,Meningococcal infection,2025-09-07
A390,Meningococcal meningitis,2025-09-07
A391,Waterhouse-Friderichsen syndrome,2025-09-07
A392,Acute meningococcaemia,2025-09-07
A393,Chronic meningococcaemia,2025-09-07
A394,"Meningococcaemia, unspecified",2025-09-07
A395,Meningococcal heart disease,2025-09-07
A398,Other meningococcal infections,2025-09-07
A399,"Meningococcal infection, unspecified",2025-09-07
A40,Streptococcal sepsis,2025-09-07
A400,"Sepsis due to streptococcus, group A",2025-09-07
A401,"Sepsis due to streptococcus, group B",2025-09-07
A402,"Sepsis due to streptococcus, group D and enterococcus",2025-09-07
A403,Sepsis due to Streptococcus pneumoniae,2025-09-07
A408,Other streptococcal sepsis,2025-09-07
A409,"Streptococcal sepsis, unspecified",2025-09-07
A41,Other sepsis,2025-09-07
A410,Sepsis due to Staphylococcus aureus,2025-09-07
A411,Sepsis due to other specified staphylococcus,2025-09-07
A412,Sepsis due to unspecified staphylococcus,2025-09-07
A413,Sepsis due to Haemophilus influenzae,2025-09-07
A414,Sepsis due to anaerobes,2025-09-07
A415,Sepsis due to other Gram-negative organisms,2025-09-07
A418,Other specified sepsis,2025-09-07
A419,"Sepsis, unspecified",2025-09-07
A42,Actinomycosis,2025-09-07
A420,Pulmonary actinomycosis,2025-09-07
A421,Abdominal actinomycosis,2025-09-07
A422,Cervicofacial actinomycosis,2025-09-07
A427,Actinomycotic sepsis,2025-09-07
A428,Other forms of actinomycosis,2025-09-07
A429,"Actinomycosis, unspecified",2025-09-07
A43,Nocardiosis,2025-09-07
A430,Pulmonary nocardiosis,2025-09-07
A431,Cutaneous nocardiosis,2025-09-07
A438,Other forms of nocardiosis,2025-09-07
A439,"Nocardiosis, unspecified",2025-09-07
A44,Bartonellosis,2025-09-07
A440,Systemic bartonellosis,2025-09-07
A441,Cutaneous and mucocutaneous bartonellosis,2025-09-07
A448,Other forms of bartonellosis,2025-09-07
A449,"Bartonellosis, unspecified",2025-09-07
A46,Erysipelas,2025-09-07
A48,"Other bacterial diseases, not elsewhere classified",2025-09-07
A480,Gas gangrene,2025-09-07
A481,Legionnaires disease,2025-09-07
A482,Nonpneumonic Legionnaires disease [Pontiac fever],2025-09-07
A483,Toxic shock syndrome,2025-09-07
A484,Brazilian purpuric fever,2025-09-07
A488,Other specified bacterial diseases,2025-09-07
A49,Bacterial infection of unspecified site,2025-09-07
A490,"Staphylococcal infection, unspecified site",2025-09-07
A491,"Streptococcal and enterococcal infection, unspecified site",2025-09-07
A492,"Haemophilus influenzae infection, unspecified site",2025-09-07
A493,"Mycoplasma infection, unspecified site",2025-09-07
A498,Other bacterial infections of unspecified site,2025-09-07
A499,"Bacterial infection, unspecified",2025-09-07
A50,Congenital syphilis,2025-09-07
A500,"Early congenital syphilis, symptomatic",2025-09-07
A501,"Early congenital syphilis, latent",2025-09-07
A502,"Early congenital syphilis, unspecified",2025-09-07
A503,Late congenital syphilitic oculopathy,2025-09-07
A504,Late congenital neurosyphilis [juvenile neurosyphilis],2025-09-07
A505,"Other late congenital syphilis, symptomatic",2025-09-07
A506,"Late congenital syphilis, latent",2025-09-07
A507,"Late congenital syphilis, unspecified",2025-09-07
A509,"Congenital syphilis, unspecified",2025-09-07
A51,Early syphilis,2025-09-07
A510,Primary genital syphilis,2025-09-07
A511,Primary anal syphilis,2025-09-07
A512,Primary syphilis of other sites,2025-09-07
A513,Secondary syphilis of skin and mucous membranes,2025-09-07
A514,Other secondary syphilis,2025-09-07
A515,"Early syphilis, latent",2025-09-07
A519,"Early syphilis, unspecified",2025-09-07
A52,Late syphilis,2025-09-07
A520,Cardiovascular syphilis,2025-09-07
A521,Symptomatic neurosyphilis,2025-09-07
A522,Asymptomatic neurosyphilis,2025-09-07
A523,"Neurosyphilis, unspecified",2025-09-07
A527,Other symptomatic late syphilis,2025-09-07
A528,"Late syphilis, latent",2025-09-07
A529,"Late syphilis, unspecified",2025-09-07
A53,Other and unspecified syphilis,2025-09-07
A530,"Latent syphilis, unspecified as early or late",2025-09-07
A539,"Syphilis, unspecified",2025-09-07
A54,Gonococcal infection,2025-09-07
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,2025-09-07
